s,p,q
-25,2.48384400669791e-05,8.86059096784548e-06
-24,5.16707131051074e-05,1.87938475457506e-05
-23,0.000103049986017175,3.82404119103186e-05
-22,0.000197086260751122,7.46708480296146e-05
-21,0.000361592621849518,0.000139992664189063
-20,0.000636681755106708,0.000252135106274333
-19,0.00107644739257374,0.000436552999303518
-18,0.00174868463140543,0.000727247998212677
-17,0.0027316387607608,0.00116684431165286
-16,0.00410723672214336,0.00180534522113231
-15,0.00595117519994694,0.00269747577972167
-14,0.00832141557712873,0.00389894144318156
-13,0.0112476341582785,0.0054623493139055
-12,0.0147244575686198,0.00743371794105857
-11,0.0187104934110525,0.00985023372881951
-10,0.0231332902736179,0.0127391463627895
-9,0.0278980306166017,0.0161166504760794
-8,0.0328959799845835,0.0199847628881083
-7,0.0380084708962052,0.0243241714374578
-6,0.0431039383832455,0.0290822227967792
-5,0.0480288256478327,0.0341575735387089
-4,0.0525968109189429,0.0393858588440156
-3,0.0565831940141168,0.044532839659797
-2,0.0597311758441164,0.0493016037769734
-1,0.0617738181711786,0.0533577842025576
0,0.0624704485004367,0.0563717256616781
1,0.0616508208582301,0.0580705458916151
2,0.0592564056509231,0.058288308309155
3,0.0553673067804045,0.0570011160694349
4,0.0502060502190119,0.0543368326058086
5,0.0441151709224155,0.0505556580239196
6,0.0375124032905878,0.0460057884979947
7,0.0308331498688291,0.0410650828252447
8,0.0244728946870172,0.0360828207781238
9,0.0187414988651014,0.031334446956516
10,0.0138373357741424,0.0269974577456491
11,0.0098435250368803,0.0231502264059416
12,0.00674305040020937,0.0197897187898108
13,0.00444588792080908,0.0168603056859701
14,0.00282014981363306,0.0142848398179608
15,0.00172042225083516,0.0119905408093381
16,0.00100902923823722,0.00992514900280572
17,0.000568788737839135,0.00806220872007933
18,0.000308079703226578,0.00639727707066256
19,0.000160301614441267,0.00493868227613142
20,8.01093176394293e-05,0.00369692792185772
21,3.84427459856964e-05,0.00267610925875633
22,1.77114845734431e-05,0.00186923604642929
23,7.83310071222248e-06,0.00125773612026465
24,3.32494760167347e-06,0.000814160372327435
25,1.354399864515e-06,0.000506503577318607
