t,g,R,Q,P,Sn,SnPrime,anomaly
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0
102,0,-0.0608213743571893,0.178867055343808,0.190083642063351,-0.0608213743571893,-0.000608213743571893,0
103,0,-0.0494311042312248,0.189445230687928,0.199045027278879,-0.110252478588414,-0.00110252478588414,0
104,0,-0.0435025354167113,0.189685979818505,0.198119919718225,-0.153755014005125,-0.00153755014005125,0
105,0,0.0073035998412887,0.190204601196909,0.188820483575111,-0.146451414163837,-0.00146451414163837,0
106,0,0.0208884119022406,0.185231485986228,0.181402425135285,-0.125563002261596,-0.00125563002261596,0
107,0,-0.0565574077216724,0.143776939612448,0.152142940327329,-0.182120409983269,-0.00182120409983268,0
108,0,-0.0709306296897199,0.140299597571543,0.15061256554689,-0.253051039672988,-0.00253051039672988,0
109,0,-0.0239312477052376,0.159763350941078,0.163632803005258,-0.276982287378226,-0.00276982287378226,0
110,0,0.0720515061482083,0.132107535305234,0.122923811675873,-0.204930781230018,-0.00204930781230018,0
111,0,-0.0574005622823235,0.191446482521518,0.202757131696582,-0.262331343512341,-0.00262331343512341,0
112,0,0.0250367705546761,0.178519856469561,0.174105783424706,-0.237294572957665,-0.00237294572957665,0
113,0,-0.0619589953922521,0.181036960240314,0.192608610697263,-0.299253568349917,-0.00299253568349917,0
114,0,-0.00792416967939946,0.167660168736377,0.168994014191162,-0.307177738029317,-0.00307177738029317,0
115,0,0.0789994716259919,0.136425475142668,0.126062652351427,-0.228178266403325,-0.00228178266403325,0
116,0,-0.0373439232794366,0.185720574276273,0.192787236370669,-0.265522189682761,-0.00265522189682761,0
117,0,-0.123200511438118,0.170786039658376,0.193178002080902,-0.38872270112088,-0.0038872270112088,0
118,0,-0.0213281060044308,0.183975841112111,0.187941840643452,-0.410050807125311,-0.00410050807125311,0
119,0,-0.0119845305972641,0.192559802025711,0.194881424857196,-0.422035337722575,-0.00422035337722575,0
120,0,-0.0519746513378812,0.193867520318004,0.204210166644078,-0.474009989060456,-0.00474009989060456,0
121,0,-0.00302100585087706,0.197175222558767,0.197771790724011,-0.477030994911333,-0.00477030994911333,0
122,0,0.0376693526316114,0.196458132254779,0.18919533286291,-0.439361642279722,-0.00439361642279722,0
123,0,-0.067255500203885,0.173534348066579,0.185606910241253,-0.506617142483607,-0.00506617142483607,0
124,0,0.000337035783134487,0.149544119902191,0.149493726675264,-0.506280106700472,-0.00506280106700472,0
125,0,0.165516436534634,0.0834399560183675,0.0707116858480854,-0.340763670165838,-0.00340763670165838,0
126,0,-0.078084092105722,0.190699460791605,0.206186846015022,-0.41884776227156,-0.0041884776227156,0
127,0,-0.00719150832814619,0.197888438752512,0.19931668457323,-0.426039270599706,-0.00426039270599706,0
128,0,0.0241821296958737,0.0768557279664518,0.0750194844064889,-0.401857140903832,-0.00401857140903832,0
129,0,0.0713880684802728,0.154238852267897,0.143611871117302,-0.330469072423559,-0.00330469072423559,0
130,0,0.0629523679575172,0.180566919250916,0.16955020622509,-0.267516704466042,-0.00267516704466042,0
131,0,-0.090680416039072,0.174922316822287,0.191525773596427,-0.358197120505114,-0.00358197120505114,0
132,0,-0.0261349533899649,0.18468997588421,0.18958046782306,-0.384332073895079,-0.00384332073895079,0
133,0,0.00780026994360883,0.190755812646431,0.189273653948505,-0.37653180395147,-0.0037653180395147,0
134,0,-0.0216329059501927,0.15416483220575,0.157536200288567,-0.398164709901663,-0.00398164709901663,0
135,0,-0.0719712039748506,0.143361939396789,0.154060237921752,-0.470135913876513,-0.00470135913876513,0
136,0,-0.0760584889564124,0.0989739600624842,0.106795444895012,-0.546194402832926,-0.00546194402832926,0
137,0,0.00808993596229635,0.197108227813641,0.195520067591925,-0.538104466870629,-0.00538104466870629,0
138,0,-0.100997965219814,0.0312103256900607,0.0345271840374416,-0.639102432090443,-0.00639102432090443,0
139,0,0.0186245687412461,0.1761318570694,0.17288183625319,-0.620477863349197,-0.00620477863349197,0
140,0,-0.0301490905536919,0.195384243836873,0.201364599246526,-0.650626953902889,-0.00650626953902889,0
141,0,0.00684662256380975,0.196976843625407,0.195632823771834,-0.643780331339079,-0.00643780331339079,0
142,0,0.0198476108625967,0.195625229056544,0.191780813072532,-0.623932720476483,-0.00623932720476483,0
143,0,0.0448398729036004,0.198100651419595,0.189414051800538,-0.579092847572882,-0.00579092847572882,0
144,0,0.0552881338138489,0.174146489999103,0.164779580942532,-0.523804713759033,-0.00523804713759033,0
145,0,0.0456766962693713,0.147560889067857,0.14097241057743,-0.478128017489662,-0.00478128017489662,0
146,0,-0.0761773545939088,0.182058207578945,0.196468833856338,-0.554305372083571,-0.00554305372083571,0
147,0,0.0586643129757223,0.190581250875245,0.179722555679478,-0.495641059107849,-0.00495641059107849,0
148,0,0.0340948197753093,0.186824989339905,0.180562589334283,-0.461546239332539,-0.00461546239332539,0
149,0,-0.0583347986060798,0.103305339302415,0.109510875147201,-0.519881037938619,-0.00519881037938619,0
150,0,0.00149479797724705,0.183688736673711,0.183414364238457,-0.518386239961372,-0.00518386239961372,0
151,0,0.0514451413486154,0.167916427176785,0.159496384937705,-0.466941098612757,-0.00466941098612757,0
152,0,-0.0679146196635796,0.199544545064072,0.213567323304396,-0.534855718276336,-0.00534855718276336,0
153,0,0.0287395716866943,0.0808316460198534,0.0785416435981586,-0.506116146589642,-0.00506116146589642,0
154,0,-0.00937539094495654,0.188163240285445,0.189935639710848,-0.515491537534599,-0.00515491537534599,0
155,0,0.277353390702961,0.148309709555281,0.11238711871209,-0.238138146831637,-0.00238138146831637,0
156,0,-0.0382142296398997,0.192297834956573,0.199788563232009,-0.276352376471537,-0.00276352376471537,0
157,0,0.00563342252966681,0.18712062251533,0.186069456595509,-0.27071895394187,-0.0027071895394187,0
158,0,0.0269407890071474,0.191182074952757,0.186100240687014,-0.243778164934723,-0.00243778164934723,0
159,0,0.0247660227096616,0.164179504725411,0.160163368517814,-0.219012142225061,-0.00219012142225061,0
160,0,-0.0160975470146756,0.148821106375332,0.151236147096993,-0.235109689239737,-0.00235109689239737,0
161,0,0.107669591268109,0.133593190207632,0.119956562374103,-0.127440097971628,-0.00127440097971628,0
162,0,0.0471749979503955,0.202980716102703,0.193627455814526,-0.0802651000212327,-0.000802651000212327,0
163,0,0.00623784108809566,0.112732069018867,0.112031052973223,-0.074027258933137,-0.00074027258933137,0
164,0.0983253741400902,0.172352633073227,0.0975950189510603,0.0821440015621526,0.0983253741400902,0.000983253741400902,0
165,0.0985640629544684,0.000238688814378163,0.177431115309654,0.177388769541038,0.0985640629544684,0.000985640629544684,0
166,0.0773882168438387,-0.0211758461106297,0.151851995855982,0.155101878417492,0.0773882168438387,0.000773882168438387,0
167,0.103978398076512,0.026590181232673,0.163148154904566,0.158867184024676,0.103978398076512,0.00103978398076512,0
168,0.0680423863560502,-0.0359360117204615,0.197834178589229,0.205072835192506,0.0680423863560502,0.000680423863560502,0
169,0.141348141268292,0.0733057549122416,0.138054990987389,0.128296800836407,0.141348141268292,0.00141348141268292,0
170,0.188668591134448,0.0473204498661564,0.151421133675129,0.14442270771489,0.188668591134448,0.00188668591134448,0
171,0.367153091394667,0.178484500260219,0.181451526540872,0.151790919810091,0.367153091394667,0.00367153091394667,0
172,0.455513796577819,0.0883607051831521,0.066749707334732,0.0611047257429972,0.455513796577819,0.00455513796577819,0
173,0.427829679266321,-0.0276841173114974,0.161692892276085,0.166231754590458,0.427829679266321,0.00427829679266321,0
174,0.354648540983728,-0.0731811382825938,0.0749280204179609,0.080616961129571,0.354648540983728,0.00354648540983728,0
175,0.43205727555951,0.0774087345757826,0.00798549402298312,0.00739066645355664,0.43205727555951,0.0043205727555951,0
176,0.365226667242378,-0.0668306083171319,0.130149460845628,0.139144658024918,0.365226667242378,0.00365226667242378,0
177,0.31444713066428,-0.0507795365780983,0.125740771414168,0.13229072389737,0.31444713066428,0.0031444713066428,0
178,0.285207938680865,-0.029239191983415,0.193531605042108,0.199273853046692,0.285207938680865,0.00285207938680865,0
179,0.284963992315741,-0.000243946365123815,0.195525746742406,0.195573450355937,0.284963992315741,0.00284963992315741,0
180,0.279028381924356,-0.00593561039138502,0.13143994615855,0.132222442468052,0.279028381924356,0.00279028381924356,0
181,0.312944228626054,0.0339158467016982,0.147771962642693,0.142844188578616,0.312944228626054,0.00312944228626054,0
182,0.288373868597076,-0.0245703600289782,0.140873349199134,0.144377531327145,0.288373868597076,0.00288373868597076,0
183,0.239263083856148,-0.049110784740928,0.183670330367076,0.192915689709545,0.239263083856148,0.00239263083856148,0
184,0.419040409932121,0.179777326075972,0.181238396831307,0.151416746844688,0.419040409932121,0.00419040409932121,0
185,0.461681980566589,0.0426415706344683,0.137883388383446,0.132127418093879,0.461681980566589,0.00461681980566589,0
186,0.649167023493485,0.187485042926896,0.0714550072230572,0.0592391676656403,0.649167023493485,0.00649167023493485,0
187,0.613471294246464,-0.0356957292470215,0.192479641393062,0.199474442107217,0.613471294246464,0.00613471294246464,0
188,0.652216451459038,0.0387451572125745,0.185872196558773,0.178808279045394,0.652216451459038,0.00652216451459038,0
189,0.64350100297462,-0.00871544848441852,0.169484387658521,0.170967975785034,0.64350100297462,0.0064350100297462,0
190,0.600190216513,-0.0433107864616202,0.191566082022162,0.20004525408767,0.600190216513,0.00600190216513,0
191,0.760563113564767,0.160372897051767,0.147278455899311,0.125455630684796,0.760563113564767,0.00760563113564767,0
192,0.723587128513778,-0.0369759850509885,0.1534456429866,0.159225648963463,0.723587128513778,0.00723587128513778,0
193,0.709417339140953,-0.014169789372825,0.141466292472744,0.143485109366972,0.709417339140953,0.00709417339140953,0
194,0.752575896744698,0.043158557603745,0.0936775047645673,0.0897205218082232,0.752575896744698,0.00752575896744698,0
195,0.698103081751132,-0.054472814993566,0.153518512484697,0.162113057439903,0.698103081751132,0.00698103081751132,0
196,0.718791109679799,0.020688027928667,0.190229920300425,0.186334867794656,0.718791109679799,0.00718791109679799,0
197,0.765461346216344,0.046670236536545,0.16054057109843,0.153220253798565,0.765461346216344,0.00765461346216344,0
198,0.773256362273771,0.00779501605742672,0.174279767572177,0.172926535072118,0.773256362273771,0.00773256362273771,0
199,0.735016610849339,-0.0382397514244324,0.191795311911043,0.199271550713125,0.735016610849339,0.00735016610849339,0
200,0.683404315774043,-0.0516122950752957,0.189749766166348,0.19980032223988,0.683404315774043,0.00683404315774043,0
201,0.735477175099015,0.052072859324972,0.121152088818107,0.1150047957163,0.735477175099015,0.00735477175099015,0
202,0.753436718062794,0.0179595429637791,0.184898247775883,0.181607201057291,0.753436718062794,0.00814258092419983,0
203,0.742612337518072,-0.0108243805447223,0.180581160724503,0.182546457297397,0.742612337518072,0.00852864816106486,0
204,0.708070680922189,-0.0345416565958829,0.135294556001193,0.140049503209129,0.708070680922189,0.00861825694927314,0
205,0.662281043634105,-0.0457896372880833,0.18956867212453,0.19845075467047,0.662281043634105,0.00808732457797942,0
206,0.657093129296617,-0.00518791433748866,0.15933168740733,0.160160434428351,0.657093129296617,0.00782656131558213,0
207,0.65916232276801,0.00206919347139367,0.125591656596958,0.125332051839926,0.65916232276801,0.00841282732751279,0
208,0.792219370084877,0.133057047316867,0.0868772800798224,0.0760536872246904,0.792219370084877,0.0104527040975787,0
209,0.729342619880493,-0.0628767502043845,0.126989679518703,0.135230748803496,0.729342619880493,0.0100632490725872,0
210,0.692469170465625,-0.0368734494148675,0.15288526858408,0.158627900474773,0.692469170465625,0.00897399951695643,0
211,0.750204747553183,0.0577355770875576,0.155562255179019,0.146835135364108,0.750204747553183,0.0101253609106552,0
212,0.698387782991562,-0.0518169645616204,0.160745381349917,0.169294295743407,0.698387782991562,0.00935682355949227,0
213,0.625084236494914,-0.0733035464966485,0.162954779112375,0.175348650418362,0.625084236494914,0.00924337804844831,0
214,0.880458434031826,0.255374197536912,0.0439830909981765,0.0340704713737051,0.880458434031826,0.0118763617206114,0
